case,time,x,y
0.136,0.0,0.0054653491824865,0.144380882382393
0.136,0.0,0.0049171755090355,0.144713193178177
0.136,0.0,0.0043488373048603,0.145009681582451
0.136,0.0,0.0037626700941473,0.145269170403481
0.136,0.0,0.0031610822770744,0.145490556955338
0.136,0.0,0.0025465458165854,0.14567294716835
0.136,0.0,0.0019215863430872,0.145815595984459
0.136,0.0,0.0012887716293335,0.145917907357216
0.136,0.0,0.0006507022189907,0.145979449152946
0.136,0.0,9.99999974737875e-06,0.145999997854233
0.136,0.001,1.21401681099087e-05,0.126000329852104
0.136,0.001,0.0006528425146825,0.126020863652229
0.136,0.001,0.0012909122742712,0.126082420349121
0.136,0.001,0.0019237275701016,0.126184731721878
0.136,0.001,0.002548687858507,0.126327365636826
0.136,0.001,0.0031632252503186,0.126509755849838
0.136,0.001,0.0037648142315447,0.126731142401695
0.136,0.001,0.0043509830720722,0.126990616321564
0.136,0.001,0.0049193231388926,0.127287104725838
0.136,0.001,0.00546749914065,0.127619415521622
0.136,0.001,0.0059932577423751,0.127986147999763
0.136,0.001,0.0064944387413561,0.128385826945305
0.136,0.001,0.0069689829833805,0.128816798329353
0.136,0.001,0.0074149402789771,0.129277274012566
0.136,0.001,0.0078304782509803,0.129765376448631
0.136,0.001,0.0082138879224658,0.13027910888195
0.136,0.001,0.0085635958239436,0.130816355347633
0.136,0.001,0.008878163062036,0.131374895572662
0.136,0.001,0.009156297892332,0.131952434778214
0.136,0.001,0.0093968575820326,0.132546618580818
0.136,0.001,0.009598852135241,0.133154988288879
0.136,0.001,0.0097614517435431,0.133775055408478
0.136,0.001,0.0098839895799756,0.134404271841049
0.136,0.001,0.0099659608677029,0.135040044784546
0.136,0.001,0.0100070284679532,0.135679751634598
0.136,0.001,0.0100070247426629,0.136320784687996
0.136,0.001,0.0099659487605094,0.136960506439209
0.136,0.001,0.0098839709535241,0.137596264481544
0.136,0.001,0.009761425666511,0.138225480914116
0.136,0.001,0.0095988186076283,0.138845548033714
0.136,0.001,0.0093968184664845,0.139453917741776
0.136,0.001,0.0091562531888485,0.140048086643219
0.136,0.001,0.0088781137019395,0.140625640749931
0.136,0.001,0.0085635418072342,0.14118418097496
0.136,0.001,0.0082138301804661,0.141721412539482
0.136,0.001,0.007830417715013,0.142235144972801
0.136,0.001,0.0074148774147033,0.142723247408867
0.136,0.001,0.0069689191877841,0.14318373799324
0.136,0.001,0.0064943740144372,0.143614694476128
0.136,0.001,0.0059931930154562,0.144014373421669
0.136,0.001,0.0054674348793923,0.144381105899811
