case,time,x,y
0.1538,0.0,0.0038333777566719853,0.14392047471197977
0.1538,0.0,0.004615245763146558,0.14395947179089355
0.1538,0.0,0.005361217036810539,0.14403317090773074
0.1538,0.0,0.0060708917218429154,0.1441419879075387
0.1538,0.0,0.006748034878712585,0.14428572614181304
0.1538,0.0,0.00738806845230768,0.14446496549397694
0.1538,0.0,0.00799186998102077,0.14467839422219933
0.1538,0.0,0.008563597712544167,0.14492754430545193
0.1538,0.0,0.009085678065901671,0.14521454454528893
0.1538,0.0,0.009579114778903964,0.14553753970201352
0.1538,0.0,0.010044353462443175,0.14589334985722854
0.1538,0.0,0.010473143986651752,0.14628298913321097
0.1538,0.0,0.010877867212871454,0.14670515323267874
0.1538,0.0,0.011266051259204822,0.14715764322919545
0.1538,0.0,0.011623585994126018,0.1476381746109762
0.1538,0.0,0.011959928216007639,0.1481465315898736
0.1538,0.0,0.012264513226074,0.14867829471206023
0.1538,0.0,0.012539367118262127,0.14923455987954728
0.1538,0.0,0.012785352252230778,0.14981016977566242
0.1538,0.0,0.012992691727378006,0.15040275648763193
0.1538,0.0,0.013152305900631456,0.15101189345348762
0.1538,0.0,0.013281245621250456,0.15163332244719852
0.1538,0.0,0.0133769747689616,0.15226349106349063
0.1538,0.0,0.013432426126473655,0.15290216087853545
0.1538,0.0,0.013450789377313293,0.1535433743617456
0.1538,0.0,0.013428527854515558,0.15418638442409807
0.1538,0.0,0.01337290022639572,0.1548276256005299
0.1538,0.0,0.013285150347444296,0.15546304118235935
0.1538,0.0,0.01315982852265386,0.1560907710063774
0.1538,0.0,0.012995933191355875,0.1567100311961032
0.1538,0.0,0.012813462113418331,0.15731615674695823
0.1538,0.0,0.012604681445316934,0.15791031511621403
0.1538,0.0,0.012382780639088625,0.15849012257125433
0.1538,0.0,0.012134661718266646,0.15905450104212063
0.1538,0.0,0.011874979681723496,0.15960099783151233
0.1538,0.0,0.011597057189480037,0.16012816901824117
0.1538,0.0,0.011300358693031264,0.16063096581441508
0.1538,0.0,0.010970548470996376,0.16110817667131727
0.1538,0.0,0.010606705790080662,0.16155347634704403
0.1538,0.0,0.010193401646790255,0.16196380795353071
0.1538,0.0,0.009743000351474108,0.16233535146165823
0.1538,0.0,0.00923042185124067,0.1626662251140712
0.1538,0.0,0.008663737118963412,0.16295327101929463
0.1538,0.0,0.008034011853706478,0.16319279272043766
0.1538,0.0,0.007343968572196625,0.16339044975904177
0.1538,0.0,0.006599026849212447,0.16354617846879316
0.1538,0.0,0.0057989477562699395,0.16365948567973537
0.1538,0.0,0.004939536428455988,0.16373120107004074
0.1538,0.0,0.00402749807944525,0.16376091190734987
0.1538,0.0,0.003058230618370699,0.16374868398964673
0.1538,0.001,0.0037924451140365473,0.14389207327950018
0.1538,0.001,0.004574304471297713,0.14393052991006225
0.1538,0.001,0.0053202862626451726,0.14400383813671405
0.1538,0.001,0.006030006586753381,0.14411236483716175
